date,entity_name,entity_type,cds_5y_bps,bond_spread_bps,bond_yield_10y,equity_return_1d,equity_return_5d,equity_vol_30d,currency_return_1m,market_flag_news
2025-08-28,JPMorgan Chase,Bank,46.49,37.72,4.8259,0.019488,,20.0,-0.002342,0
2025-08-29,JPMorgan Chase,Bank,45.71,38.3,4.8663,-0.007018,,20.0,-0.005252,0
2025-09-01,JPMorgan Chase,Bank,46.4,34.45,4.7973,-0.006784,,20.0,-0.010128,0
2025-09-02,JPMorgan Chase,Bank,47.28,33.22,4.7117,-0.007631,,20.0,0.005977,0
2025-09-03,JPMorgan Chase,Bank,45.53,33.69,4.6657,0.005033,,20.0,-0.006006,0
2025-09-04,JPMorgan Chase,Bank,44.63,31.86,4.6592,-0.006423,-0.022673,20.0,-5.5e-05,0
2025-09-05,JPMorgan Chase,Bank,47.11,29.72,4.6676,-0.02439,-0.03977,20.0,-0.013282,0
2025-09-08,JPMorgan Chase,Bank,47.6,30.57,4.7029,-0.012413,-0.045212,20.0,-0.015833,0
2025-09-09,JPMorgan Chase,Bank,46.09,33.06,4.7166,-0.021912,-0.058953,20.0,0.003241,0
2025-09-10,JPMorgan Chase,Bank,44.88,34.47,4.7521,0.011568,-0.052835,20.0,0.00755,0
2025-09-11,JPMorgan Chase,Bank,42.37,34.03,4.7654,0.012591,-0.034709,20.0,-0.004792,0
2025-09-12,JPMorgan Chase,Bank,41.94,36.59,4.7294,0.010817,0.000126,20.0,0.002966,0
2025-09-15,JPMorgan Chase,Bank,43.18,35.37,4.7439,0.019677,0.032624,20.0,-0.000358,0
2025-09-16,JPMorgan Chase,Bank,47.96,34.7,4.7415,-0.017575,0.037203,20.0,0.010425,0
2025-09-17,JPMorgan Chase,Bank,47.16,35.58,4.8006,-0.00623,0.018955,20.0,-0.008085,0
2025-09-18,JPMorgan Chase,Bank,45.54,36.7,4.8469,0.003539,0.009847,20.0,0.003145,0
2025-09-19,JPMorgan Chase,Bank,45.81,38.71,4.8188,-0.003828,-0.004784,20.0,-0.003921,0
2025-09-22,JPMorgan Chase,Bank,41.38,33.36,4.8326,-0.004683,-0.028561,20.0,-0.002891,0
2025-09-23,JPMorgan Chase,Bank,41.07,34.4,4.9081,0.002499,-0.008711,20.0,0.002576,0
2025-09-24,JPMorgan Chase,Bank,41.05,34.54,4.8411,-0.013213,-0.015677,20.0,-0.009926,1
2025-09-25,JPMorgan Chase,Bank,41.42,39.64,4.8335,0.004099,-0.015128,20.0,-0.000347,0
2025-09-26,JPMorgan Chase,Bank,38.1,41.1,4.7875,-0.009468,-0.020704,20.0,0.007731,0
2025-09-29,JPMorgan Chase,Bank,42.65,38.14,4.8109,0.027897,0.011352,20.0,-0.009905,1
2025-09-30,JPMorgan Chase,Bank,41.07,41.54,4.8459,0.000415,0.009249,20.0,-0.003655,0
2025-10-01,JPMorgan Chase,Bank,38.08,42.31,4.8091,0.019827,0.043041,20.0,-0.007833,0
2025-10-02,JPMorgan Chase,Bank,37.46,41.38,4.8313,0.013451,0.052756,20.0,0.005264,0
2025-10-03,JPMorgan Chase,Bank,33.01,41.58,4.8417,0.01015,0.073607,20.0,-0.01237,0
2025-10-06,JPMorgan Chase,Bank,29.65,42.64,4.8904,0.003151,0.047761,20.0,0.008474,1
2025-10-07,JPMorgan Chase,Bank,31.3,40.98,4.9651,0.00627,0.053892,20.0,-0.011913,0
2025-10-08,JPMorgan Chase,Bank,33.95,39.33,4.9198,0.010001,0.043737,20.2131,0.012684,0
